India Id,Trade Id,Product Description,Trade Date,Start Date,MR_MATURITY_DATE,Entered Date,CounterParty (F),Book,Buy_Sell,Currency Pair,Prim Cur,Prim Amt,Trade Price,Sec Cur,Sec Amt,TradeStatus
24176,13528465,"1976121/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=17511, noOfActionsDone: 0/null",03-02-21 0:00,02-08-21,20-11-24,03-02-21 0:00,Counterparty 11,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,2345,74.84,INR,23284669.84,VERIFIED
25318,13598482,"1993902/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=18507, noOfActionsDone: 0/null",15-02-21 0:00,31-08-21,21-01-25,15-02-21 0:00,Counterparty 12,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,-17811,74.77,INR,1331773,VERIFIED
28055,13883780,"2224830/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=19510, noOfActionsDone: 0/null",16-03-21 0:00,15-09-21,05-07-24,16-03-21 0:00,Counterparty 13,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,2364,74.51,INR,13081414.5,VERIFIED
32987,14719100,"2315957/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=22506, noOfActionsDone: 0/null",14-05-21 0:00,20-10-21,17-07-24,14-05-21 0:00,Counterparty 14,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,234,75.13,INR,18075676.5,VERIFIED
33061,,1000000,18-05-21 0:00,27-07-21,05-08-24,18-05-21 0:00,Counterparty 15,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,0,73.91,INR,369562500,VERIFIED
33644,14412205,"2348666/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=23010, noOfActionsDone: 0/null",,04-08-21,11-04-24,03-06-21 0:00,Counterparty 16,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,-10000000,73.62,INR,736200000,VERIFIED
34042,14479290,"2364635/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=23518, noOfActionsDone: 0/null",14-06-21 0:00,22-07-21,21-09-24,14-06-21 0:00,Counterparty 17,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,0,73.45,INR,,VERIFIED
34307,14496015,"2369626/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=24009, noOfActionsDone: 0/null",16-06-21 0:00,22-10-21,03-08-24,16-06-21 0:00,Counterparty 18,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,2345,74.55,INR,765579.62,VERIFIED
34481,14527556,"2377053/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=24020, noOfActionsDone: 0/null",21-06-21 0:00,22-07-21,26-05-24,21-06-21 0:00,Counterparty 19,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,0,74.4,INR,73091302.01,VERIFIED
34835,14581014,"2391003/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=24506, noOfActionsDone: 0/null",29-06-21 0:00,22-07-21,21-03-25,29-06-21 0:00,Counterparty 20,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,0,74.42,INR,0,VERIFIED
36832,14675237,,13-07-21 0:00,03-09-21,21-11-24,13-07-21 0:00,Counterparty 21,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,-850000,74.93,INR,63692625,VERIFIED
36833,14675263,22-07-21 0:00,13-07-21 0:00,07-09-21,09-03-25,1000000,Counterparty 22,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,"2423545/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=27006, noOfActionsDone: 0/null",74.97,INR,70471800,VERIFIED
36838,14675668,"2415002/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=26508, noOfActionsDone: 0/null",13-07-21 0:00,09-09-21,21-01-25,13-07-21 0:00,Counterparty 23,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,-2750000,VERIFIED,INR,206222500,VERIFIED
37825,14718643,"2425783/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=27509, noOfActionsDone: 0/null",22-07-21 0:00,15-09-21,09-05-24,22-07-21 0:00,Counterparty 24,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,-2809257.5,74.79,INR,210097345.3,VERIFIED
37828,14734932,"2425801/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=27510, noOfActionsDone: 0/null",22-07-21 0:00,16-09-21,03-04-24,22-07-21 0:00,Counterparty 25,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,2345,74.86,INR,68735004.38,VERIFIED
38295,14734983,"2429156/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=28007, noOfActionsDone: 0/null",26-07-21 0:00,27-09-21,28-04-24,26-07-21 0:00,Counterparty 26,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,3456,74.95,INR,374750000,VERIFIED
38293,14734932,"2429140/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=28006, noOfActionsDone: 0/null",26-07-21 0:00,17-09-21,10-05-24,26-07-21 0:00,Counterparty 27,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,2345,74.87,INR,299480000,VERIFIED
37828,14734932,"2425801/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=27510, noOfActionsDone: 0/null",22-07-21 0:00,16-09-21,03-04-24,22-07-21 0:00,Counterparty 25,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,2345,74.86,INR,68735004.38,VERIFIED
38295,14734983,"2429156/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=28007, noOfActionsDone: 0/null",26-07-21 0:00,27-09-21,28-04-24,26-07-21 0:00,Counterparty 26,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,3456,74.95,INR,374750000,VERIFIED
38293,14734932,"2429140/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=28006, noOfActionsDone: 0/null",26-07-21 0:00,17-09-21,10-05-24,26-07-21 0:00,Counterparty 27,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,2345,74.87,INR,299480000,VERIFIED
37828,14734932,"2425801/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=27510, noOfActionsDone: 0/null",22-07-21 0:00,16-09-21,03-04-24,22-07-21 0:00,Counterparty 25,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,2345,74.86,INR,68735004.38,VERIFIED
38295,14734983,"2429156/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=28007, noOfActionsDone: 0/null",26-07-21 0:00,27-09-21,28-04-24,26-07-21 0:00,Counterparty 26,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,3456,74.95,INR,374750000,VERIFIED
38293,14734932,"2429140/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=28006, noOfActionsDone: 0/null",26-07-21 0:00,17-09-21,10-05-24,26-07-21 0:00,Counterparty 27,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,2345,74.87,INR,299480000,VERIFIED
37828,14734932,"2425801/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=27510, noOfActionsDone: 0/null",22-07-21 0:00,16-09-21,03-04-24,22-07-21 0:00,Counterparty 25,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,2345,74.86,INR,68735004.38,VERIFIED
38295,14734983,"2429156/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=28007, noOfActionsDone: 0/null",26-07-21 0:00,27-09-21,28-04-24,26-07-21 0:00,Counterparty 26,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,3456,74.95,INR,374750000,VERIFIED
38293,14734932,"2429140/FXFlexiForward/MerchantFX/RETAIL/USD/INR/FXFlexiForwardMerchantFX [id=28006, noOfActionsDone: 0/null",26-07-21 0:00,17-09-21,10-05-24,26-07-21 0:00,Counterparty 27,TB.IND.TRADING.TIMEOPT,Sell,USD/INR,USD,2345,74.87,INR,299480000,VERIFIED
