,Sentence,Chart_Type,Data_Type,Time_Period,Operation
37,Plot a histogram to visualize product prices change for the last 3 months.,Histogram,Product prices,Last 3 months,Change
38,Make a histogram showing the increase of customer satisfaction over the last year.,Histogram,Customer satisfaction,Last year,Increase
39,Make a histogram showing the growth of customer satisfaction over the past week.,Histogram,Customer satisfaction,Past week,Growth
40,Plot a pie chart to visualize revenue data distribution for the last year.,Pie chart,Revenue data,Last year,Distribution
41,Show a line chart representing profit data variation for the last month.,Line chart,Profit data,Last month,Variation
42,Show a heatmap representing customer visits change for the last quarter.,Heatmap,Customer visits,Last quarter,Change
43,Generate a heatmap depicting variation in market share over the past week.,Heatmap,Market share,Past week,Variation
44,Generate a histogram depicting increase in expenses data over the last 3 months.,Histogram,Expenses data,Last 3 months,Increase
45,Display a pie chart of website traffic to highlight the distribution during the last 3 months.,Pie chart,Website traffic,Last 3 months,Distribution
46,Create a stacked bar chart to illustrate website traffic change during the past week.,Stacked bar chart,Website traffic,Past week,Change
47,Display a stacked bar chart of customer satisfaction to highlight the increase during the this year.,Stacked bar chart,Customer satisfaction,This year,Increase
48,Provide a stacked bar chart showing increase of customer visits across the current year.,Stacked bar chart,Customer visits,Current year,Increase
49,Make a histogram showing the growth of product prices over the last quarter.,Histogram,Product prices,Last quarter,Growth
50,Show a histogram representing market share correlation for the last two years.,Histogram,Market share,Last two years,Correlation
51,Create a bar chart to illustrate customer visits comparison during the this quarter.,Bar chart,Customer visits,This quarter,Comparison
52,Make a scatter plot showing the variation of profit data over the last month.,Scatter plot,Profit data,Last month,Variation
53,Provide a scatter plot showing distribution of market share across the last 3 months.,Scatter plot,Market share,Last 3 months,Distribution
54,Plot a stacked bar chart to visualize expenses data change for the this year.,Stacked bar chart,Expenses data,This year,Change
55,Plot a heatmap to visualize revenue data increase for the last 3 months.,Heatmap,Revenue data,Last 3 months,Increase
56,Provide a line chart showing increase of customer satisfaction across the last year.,Line chart,Customer satisfaction,Last year,Increase
57,Show a line chart representing product prices growth for the last month.,Line chart,Product prices,Last month,Growth
58,Generate a pie chart depicting comparison in profit data over the current year.,Pie chart,Profit data,Current year,Comparison
59,Plot a pie chart to visualize customer satisfaction correlation for the current year.,Pie chart,Customer satisfaction,Current year,Correlation
60,Generate a pie chart depicting distribution in product prices over the this quarter.,Pie chart,Product prices,This quarter,Distribution
61,Generate a heatmap depicting variation in profit data over the last quarter.,Heatmap,Profit data,Last quarter,Variation
62,Provide a stacked bar chart showing change of website traffic across the last quarter.,Stacked bar chart,Website traffic,Last quarter,Change
63,Display a line chart of website traffic to highlight the distribution during the last year.,Line chart,Website traffic,Last year,Distribution
64,Plot a bar chart to visualize product prices growth for the past week.,Bar chart,Product prices,Past week,Growth
65,Create a scatter plot to illustrate sales data growth during the last two years.,Scatter plot,Sales data,Last two years,Growth
66,Display a stacked bar chart of customer satisfaction to highlight the increase during the last quarter.,Stacked bar chart,Customer satisfaction,Last quarter,Increase
67,Show a scatter plot representing revenue data growth for the past week.,Scatter plot,Revenue data,Past week,Growth
68,Provide a histogram showing comparison of customer visits across the last 3 months.,Histogram,Customer visits,Last 3 months,Comparison
69,Show a heatmap representing expenses data variation for the current year.,Heatmap,Expenses data,Current year,Variation
70,Plot a pie chart to visualize customer visits distribution for the past week.,Pie chart,Customer visits,Past week,Distribution
71,Provide a bar chart showing correlation of profit data across the last month.,Bar chart,Profit data,Last month,Correlation
72,Generate a histogram depicting variation in customer visits over the last 3 months.,Histogram,Customer visits,Last 3 months,Variation
73,Provide a line chart showing change of customer visits across the this quarter.,Line chart,Customer visits,This quarter,Change
74,Provide a stacked bar chart showing growth of product prices across the last two years.,Stacked bar chart,Product prices,Last two years,Growth
75,Display a scatter plot of revenue data to highlight the variation during the last year.,Scatter plot,Revenue data,Last year,Variation
76,Create a pie chart to illustrate expenses data change during the last month.,Pie chart,Expenses data,Last month,Change
77,Make a scatter plot showing the increase of revenue data over the past week.,Scatter plot,Revenue data,Past week,Increase
78,Show a histogram representing customer visits variation for the past week.,Histogram,Customer visits,Past week,Variation
79,Create a scatter plot to illustrate market share increase during the last two years.,Scatter plot,Market share,Last two years,Increase
80,Plot a histogram to visualize sales data growth for the this quarter.,Histogram,Sales data,This quarter,Growth
81,Plot a stacked bar chart to visualize expenses data change for the last two years.,Stacked bar chart,Expenses data,Last two years,Change
82,Provide a bar chart showing increase of website traffic across the last month.,Bar chart,Website traffic,Last month,Increase
83,Plot a scatter plot to visualize profit data comparison for the last two years.,Scatter plot,Profit data,Last two years,Comparison
84,Generate a heatmap depicting variation in website traffic over the past week.,Heatmap,Website traffic,Past week,Variation
85,Create a stacked bar chart to illustrate website traffic change during the current year.,Stacked bar chart,Website traffic,Current year,Change
86,Generate a line chart depicting distribution in expenses data over the last two years.,Line chart,Expenses data,Last two years,Distribution
87,Create a stacked bar chart to illustrate product prices comparison during the last two years.,Stacked bar chart,Product prices,Last two years,Comparison
88,Make a pie chart showing the distribution of market share over the last month.,Pie chart,Market share,Last month,Distribution
89,Generate a stacked bar chart depicting distribution in expenses data over the current year.,Stacked bar chart,Expenses data,Current year,Distribution
90,Display a line chart of website traffic to highlight the distribution during the last two years.,Line chart,Website traffic,Last two years,Distribution
91,Display a histogram of sales data to highlight the distribution during the current year.,Histogram,Sales data,Current year,Distribution
92,Make a scatter plot showing the growth of expenses data over the last year.,Scatter plot,Expenses data,Last year,Growth
93,Create a pie chart to illustrate revenue data variation during the last quarter.,Pie chart,Revenue data,Last quarter,Variation
94,Generate a histogram depicting correlation in product prices over the past week.,Histogram,Product prices,Past week,Correlation
95,Plot a pie chart to visualize profit data distribution for the current year.,Pie chart,Profit data,Current year,Distribution
96,Plot a bar chart to visualize website traffic variation for the last 3 months.,Bar chart,Website traffic,Last 3 months,Variation
97,Make a bar chart showing the comparison of expenses data over the last month.,Bar chart,Expenses data,Last month,Comparison
98,Provide a pie chart showing growth of profit data across the last two years.,Pie chart,Profit data,Last two years,Growth
99,Display a stacked bar chart of revenue data to highlight the comparison during the last year.,Stacked bar chart,Revenue data,Last year,Comparison
100,Plot a heatmap to visualize profit data variation for the last two years.,Heatmap,Profit data,Last two years,Variation
101,Show a histogram representing sales data comparison for the last quarter.,Histogram,Sales data,Last quarter,Comparison
102,Display a scatter plot of sales data to highlight the increase during the this year.,Scatter plot,Sales data,This year,Increase
103,Display a stacked bar chart of market share to highlight the variation during the last quarter.,Stacked bar chart,Market share,Last quarter,Variation
104,Create a histogram to illustrate market share distribution during the last 3 months.,Histogram,Market share,Last 3 months,Distribution
105,Plot a heatmap to visualize revenue data correlation for the last month.,Heatmap,Revenue data,Last month,Correlation
106,Provide a bar chart showing correlation of product prices across the current year.,Bar chart,Product prices,Current year,Correlation
107,Generate a bar chart depicting variation in market share over the this quarter.,Bar chart,Market share,This quarter,Variation
108,Provide a line chart showing growth of expenses data across the this year.,Line chart,Expenses data,This year,Growth
109,Provide a line chart showing increase of expenses data across the this quarter.,Line chart,Expenses data,This quarter,Increase
110,Plot a pie chart to visualize customer visits distribution for the last 3 months.,Pie chart,Customer visits,Last 3 months,Distribution
111,Generate a line chart depicting increase in profit data over the last quarter.,Line chart,Profit data,Last quarter,Increase
112,Display a pie chart of customer visits to highlight the increase during the this quarter.,Pie chart,Customer visits,This quarter,Increase
113,Make a scatter plot showing the increase of expenses data over the last month.,Scatter plot,Expenses data,Last month,Increase
114,Provide a histogram showing correlation of customer visits across the current year.,Histogram,Customer visits,Current year,Correlation
115,Plot a stacked bar chart to visualize product prices correlation for the current year.,Stacked bar chart,Product prices,Current year,Correlation
116,Generate a stacked bar chart depicting increase in profit data over the last quarter.,Stacked bar chart,Profit data,Last quarter,Increase
117,Create a bar chart to illustrate sales data increase during the last 3 months.,Bar chart,Sales data,Last 3 months,Increase
118,Display a pie chart of product prices to highlight the increase during the last quarter.,Pie chart,Product prices,Last quarter,Increase
119,Show a scatter plot representing product prices comparison for the last quarter.,Scatter plot,Product prices,Last quarter,Comparison
120,Provide a pie chart showing increase of expenses data across the last year.,Pie chart,Expenses data,Last year,Increase
121,Provide a bar chart showing growth of revenue data across the this year.,Bar chart,Revenue data,This year,Growth
122,Plot a bar chart to visualize product prices distribution for the last quarter.,Bar chart,Product prices,Last quarter,Distribution
123,Show a pie chart representing sales data variation for the last 3 months.,Pie chart,Sales data,Last 3 months,Variation
124,Generate a stacked bar chart depicting increase in revenue data over the last quarter.,Stacked bar chart,Revenue data,Last quarter,Increase
125,Create a heatmap to illustrate profit data increase during the last two years.,Heatmap,Profit data,Last two years,Increase
126,Provide a stacked bar chart showing growth of market share across the last quarter.,Stacked bar chart,Market share,Last quarter,Growth
127,Plot a stacked bar chart to visualize expenses data growth for the last 3 months.,Stacked bar chart,Expenses data,Last 3 months,Growth
128,Plot a pie chart to visualize profit data growth for the past week.,Pie chart,Profit data,Past week,Growth
129,Display a histogram of sales data to highlight the growth during the this quarter.,Histogram,Sales data,This quarter,Growth
130,Display a heatmap of market share to highlight the variation during the last quarter.,Heatmap,Market share,Last quarter,Variation
131,Generate a pie chart depicting variation in profit data over the this quarter.,Pie chart,Profit data,This quarter,Variation
132,Generate a line chart depicting variation in product prices over the current year.,Line chart,Product prices,Current year,Variation
133,Generate a scatter plot depicting distribution in customer visits over the current year.,Scatter plot,Customer visits,Current year,Distribution
134,Plot a bar chart to visualize product prices distribution for the last quarter.,Bar chart,Product prices,Last quarter,Distribution
135,Make a stacked bar chart showing the growth of profit data over the this quarter.,Stacked bar chart,Profit data,This quarter,Growth
136,Create a bar chart to illustrate expenses data growth during the current year.,Bar chart,Expenses data,Current year,Growth
137,Provide a heatmap showing growth of website traffic across the last quarter.,Heatmap,Website traffic,Last quarter,Growth
138,Provide a stacked bar chart showing growth of profit data across the last month.,Stacked bar chart,Profit data,Last month,Growth
139,Display a heatmap of profit data to highlight the correlation during the last quarter.,Heatmap,Profit data,Last quarter,Correlation
140,Plot a histogram to visualize profit data comparison for the this quarter.,Histogram,Profit data,This quarter,Comparison
141,Make a pie chart showing the distribution of revenue data over the last two years.,Pie chart,Revenue data,Last two years,Distribution
142,Provide a bar chart showing change of expenses data across the last year.,Bar chart,Expenses data,Last year,Change
143,Make a histogram showing the increase of market share over the last 3 months.,Histogram,Market share,Last 3 months,Increase
144,Generate a histogram depicting correlation in website traffic over the last month.,Histogram,Website traffic,Last month,Correlation
145,Make a bar chart showing the increase of website traffic over the past week.,Bar chart,Website traffic,Past week,Increase
146,Make a histogram showing the distribution of market share over the last 3 months.,Histogram,Market share,Last 3 months,Distribution
147,Display a bar chart of sales data to highlight the growth during the last year.,Bar chart,Sales data,Last year,Growth
148,Generate a heatmap depicting correlation in expenses data over the current year.,Heatmap,Expenses data,Current year,Correlation
149,Generate a histogram depicting distribution in market share over the past week.,Histogram,Market share,Past week,Distribution
150,Show a bar chart representing customer visits growth for the past week.,Bar chart,Customer visits,Past week,Growth
151,Provide a pie chart showing change of revenue data across the this quarter.,Pie chart,Revenue data,This quarter,Change
152,Plot a bar chart to visualize profit data variation for the this quarter.,Bar chart,Profit data,This quarter,Variation
153,Show a histogram representing sales data distribution for the current year.,Histogram,Sales data,Current year,Distribution
154,Plot a pie chart to visualize sales data comparison for the last two years.,Pie chart,Sales data,Last two years,Comparison
155,Plot a histogram to visualize product prices comparison for the last two years.,Histogram,Product prices,Last two years,Comparison
156,Plot a pie chart to visualize customer satisfaction correlation for the last two years.,Pie chart,Customer satisfaction,Last two years,Correlation
157,Display a stacked bar chart of revenue data to highlight the variation during the this year.,Stacked bar chart,Revenue data,This year,Variation
158,Make a bar chart showing the growth of market share over the last two years.,Bar chart,Market share,Last two years,Growth
159,Create a heatmap to illustrate expenses data variation during the last 3 months.,Heatmap,Expenses data,Last 3 months,Variation
160,Create a scatter plot to illustrate expenses data correlation during the last two years.,Scatter plot,Expenses data,Last two years,Correlation
161,Display a scatter plot of expenses data to highlight the correlation during the last quarter.,Scatter plot,Expenses data,Last quarter,Correlation
162,Show a histogram representing sales data correlation for the this quarter.,Histogram,Sales data,This quarter,Correlation
163,Plot a bar chart to visualize expenses data correlation for the last 3 months.,Bar chart,Expenses data,Last 3 months,Correlation
164,Make a pie chart showing the distribution of revenue data over the last two years.,Pie chart,Revenue data,Last two years,Distribution
165,Make a pie chart showing the variation of sales data over the last month.,Pie chart,Sales data,Last month,Variation
166,Show a bar chart representing profit data comparison for the last two years.,Bar chart,Profit data,Last two years,Comparison
167,Make a histogram showing the change of revenue data over the current year.,Histogram,Revenue data,Current year,Change
168,Generate a histogram depicting growth in expenses data over the last two years.,Histogram,Expenses data,Last two years,Growth
169,Show a pie chart representing website traffic variation for the last month.,Pie chart,Website traffic,Last month,Variation
170,Display a histogram of customer satisfaction to highlight the increase during the last month.,Histogram,Customer satisfaction,Last month,Increase
171,Generate a stacked bar chart depicting change in revenue data over the this quarter.,Stacked bar chart,Revenue data,This quarter,Change
172,Provide a scatter plot showing correlation of revenue data across the last month.,Scatter plot,Revenue data,Last month,Correlation
173,Provide a stacked bar chart showing comparison of customer visits across the this quarter.,Stacked bar chart,Customer visits,This quarter,Comparison
174,Create a line chart to illustrate market share correlation during the this quarter.,Line chart,Market share,This quarter,Correlation
175,Provide a stacked bar chart showing variation of profit data across the last 3 months.,Stacked bar chart,Profit data,Last 3 months,Variation
176,Plot a histogram to visualize website traffic change for the current year.,Histogram,Website traffic,Current year,Change
177,Display a bar chart of website traffic to highlight the correlation during the last year.,Bar chart,Website traffic,Last year,Correlation
178,Plot a line chart to visualize product prices variation for the this year.,Line chart,Product prices,This year,Variation
179,Plot a scatter plot to visualize market share correlation for the last year.,Scatter plot,Market share,Last year,Correlation
180,Show a scatter plot representing expenses data comparison for the past week.,Scatter plot,Expenses data,Past week,Comparison
181,Show a heatmap representing website traffic correlation for the last 3 months.,Heatmap,Website traffic,Last 3 months,Correlation
182,Provide a line chart showing correlation of product prices across the last two years.,Line chart,Product prices,Last two years,Correlation
183,Provide a pie chart showing comparison of market share across the current year.,Pie chart,Market share,Current year,Comparison
184,Create a heatmap to illustrate customer satisfaction correlation during the past week.,Heatmap,Customer satisfaction,Past week,Correlation
185,Make a pie chart showing the increase of revenue data over the last two years.,Pie chart,Revenue data,Last two years,Increase
186,Display a heatmap of expenses data to highlight the increase during the past week.,Heatmap,Expenses data,Past week,Increase
187,Generate a stacked bar chart depicting correlation in sales data over the current year.,Stacked bar chart,Sales data,Current year,Correlation
188,Generate a heatmap depicting increase in expenses data over the this year.,Heatmap,Expenses data,This year,Increase
189,Generate a stacked bar chart depicting correlation in customer visits over the last year.,Stacked bar chart,Customer visits,Last year,Correlation
190,Make a pie chart showing the comparison of profit data over the last quarter.,Pie chart,Profit data,Last quarter,Comparison
191,Make a pie chart showing the growth of customer visits over the last year.,Pie chart,Customer visits,Last year,Growth
192,Display a bar chart of customer satisfaction to highlight the variation during the past week.,Bar chart,Customer satisfaction,Past week,Variation
193,Make a scatter plot showing the change of sales data over the current year.,Scatter plot,Sales data,Current year,Change
194,Make a bar chart showing the distribution of expenses data over the last 3 months.,Bar chart,Expenses data,Last 3 months,Distribution
195,Provide a line chart showing correlation of profit data across the last quarter.,Line chart,Profit data,Last quarter,Correlation
196,Generate a scatter plot depicting variation in customer visits over the current year.,Scatter plot,Customer visits,Current year,Variation
197,Show a pie chart representing market share increase for the this year.,Pie chart,Market share,This year,Increase
198,Plot a heatmap to visualize expenses data distribution for the this quarter.,Heatmap,Expenses data,This quarter,Distribution
199,Plot a line chart to visualize profit data increase for the last year.,Line chart,Profit data,Last year,Increase
200,Plot a line chart to visualize revenue data comparison for the last year.,Line chart,Revenue data,Last year,Comparison
201,Generate a bar chart depicting variation in website traffic over the current year.,Bar chart,Website traffic,Current year,Variation
202,Show a histogram representing product prices change for the past week.,Histogram,Product prices,Past week,Change
203,Show a bar chart representing market share change for the last 3 months.,Bar chart,Market share,Last 3 months,Change
204,Show a stacked bar chart representing customer visits increase for the last year.,Stacked bar chart,Customer visits,Last year,Increase
205,Plot a stacked bar chart to visualize website traffic change for the last year.,Stacked bar chart,Website traffic,Last year,Change
206,Create a scatter plot to illustrate profit data correlation during the last 3 months.,Scatter plot,Profit data,Last 3 months,Correlation
207,Display a bar chart of product prices to highlight the correlation during the this quarter.,Bar chart,Product prices,This quarter,Correlation
208,Generate a bar chart depicting increase in sales data over the last year.,Bar chart,Sales data,Last year,Increase
209,Show a stacked bar chart representing profit data change for the last month.,Stacked bar chart,Profit data,Last month,Change
210,Create a stacked bar chart to illustrate market share comparison during the last month.,Stacked bar chart,Market share,Last month,Comparison
211,Display a histogram of product prices to highlight the increase during the current year.,Histogram,Product prices,Current year,Increase
212,Provide a pie chart showing change of product prices across the past week.,Pie chart,Product prices,Past week,Change
213,Provide a histogram showing increase of expenses data across the this quarter.,Histogram,Expenses data,This quarter,Increase
214,Plot a scatter plot to visualize customer satisfaction comparison for the last year.,Scatter plot,Customer satisfaction,Last year,Comparison
215,Display a heatmap of website traffic to highlight the increase during the this year.,Heatmap,Website traffic,This year,Increase
216,Provide a bar chart showing correlation of customer visits across the last quarter.,Bar chart,Customer visits,Last quarter,Correlation
217,Make a bar chart showing the variation of customer satisfaction over the this quarter.,Bar chart,Customer satisfaction,This quarter,Variation
218,Create a scatter plot to illustrate market share comparison during the current year.,Scatter plot,Market share,Current year,Comparison
219,Create a heatmap to illustrate customer satisfaction change during the last year.,Heatmap,Customer satisfaction,Last year,Change
220,Make a pie chart showing the growth of expenses data over the last year.,Pie chart,Expenses data,Last year,Growth
221,Plot a pie chart to visualize revenue data distribution for the last 3 months.,Pie chart,Revenue data,Last 3 months,Distribution
222,Make a pie chart showing the correlation of customer visits over the last year.,Pie chart,Customer visits,Last year,Correlation
223,Create a scatter plot to illustrate market share comparison during the current year.,Scatter plot,Market share,Current year,Comparison
224,Display a heatmap of profit data to highlight the change during the last two years.,Heatmap,Profit data,Last two years,Change
225,Display a heatmap of market share to highlight the increase during the current year.,Heatmap,Market share,Current year,Increase
226,Create a stacked bar chart to illustrate market share correlation during the this year.,Stacked bar chart,Market share,This year,Correlation
227,Generate a histogram depicting correlation in expenses data over the this year.,Histogram,Expenses data,This year,Correlation
228,Create a pie chart to illustrate profit data distribution during the past week.,Pie chart,Profit data,Past week,Distribution
229,Generate a stacked bar chart depicting comparison in sales data over the this quarter.,Stacked bar chart,Sales data,This quarter,Comparison
230,Create a pie chart to illustrate sales data correlation during the last year.,Pie chart,Sales data,Last year,Correlation
231,Generate a line chart depicting increase in market share over the this year.,Line chart,Market share,This year,Increase
232,Provide a heatmap showing distribution of product prices across the this year.,Heatmap,Product prices,This year,Distribution
233,Generate a bar chart depicting change in customer visits over the last quarter.,Bar chart,Customer visits,Last quarter,Change
234,Provide a line chart showing change of website traffic across the this quarter.,Line chart,Website traffic,This quarter,Change
235,Show a line chart representing expenses data correlation for the last two years.,Line chart,Expenses data,Last two years,Correlation
236,Display a scatter plot of product prices to highlight the increase during the past week.,Scatter plot,Product prices,Past week,Increase
237,Provide a bar chart showing comparison of product prices across the this year.,Bar chart,Product prices,This year,Comparison
238,Plot a line chart to visualize revenue data growth for the current year.,Line chart,Revenue data,Current year,Growth
239,Show a scatter plot representing profit data change for the current year.,Scatter plot,Profit data,Current year,Change
240,Make a heatmap showing the correlation of website traffic over the last 3 months.,Heatmap,Website traffic,Last 3 months,Correlation
241,Create a pie chart to illustrate product prices increase during the last two years.,Pie chart,Product prices,Last two years,Increase
242,Show a scatter plot representing profit data growth for the last year.,Scatter plot,Profit data,Last year,Growth
243,Show a histogram representing revenue data distribution for the last quarter.,Histogram,Revenue data,Last quarter,Distribution
244,Make a scatter plot showing the growth of profit data over the last quarter.,Scatter plot,Profit data,Last quarter,Growth
245,Display a histogram of product prices to highlight the distribution during the past week.,Histogram,Product prices,Past week,Distribution
246,Plot a heatmap to visualize revenue data variation for the current year.,Heatmap,Revenue data,Current year,Variation
247,Make a pie chart showing the correlation of website traffic over the this quarter.,Pie chart,Website traffic,This quarter,Correlation
248,Create a scatter plot to illustrate expenses data distribution during the last two years.,Scatter plot,Expenses data,Last two years,Distribution
249,Provide a heatmap showing change of customer visits across the current year.,Heatmap,Customer visits,Current year,Change
250,Make a histogram showing the distribution of expenses data over the last 3 months.,Histogram,Expenses data,Last 3 months,Distribution
251,Provide a line chart showing growth of customer visits across the last year.,Line chart,Customer visits,Last year,Growth
252,Provide a stacked bar chart showing increase of market share across the last year.,Stacked bar chart,Market share,Last year,Increase
253,Create a line chart to illustrate market share variation during the last year.,Line chart,Market share,Last year,Variation
254,Plot a stacked bar chart to visualize customer satisfaction growth for the last year.,Stacked bar chart,Customer satisfaction,Last year,Growth
255,Make a histogram showing the distribution of customer visits over the last quarter.,Histogram,Customer visits,Last quarter,Distribution
256,Make a heatmap showing the comparison of sales data over the past week.,Heatmap,Sales data,Past week,Comparison
257,Display a histogram of customer visits to highlight the variation during the last 3 months.,Histogram,Customer visits,Last 3 months,Variation
258,Generate a stacked bar chart depicting variation in market share over the past week.,Stacked bar chart,Market share,Past week,Variation
259,Show a heatmap representing sales data change for the current year.,Heatmap,Sales data,Current year,Change
260,Create a pie chart to illustrate market share correlation during the last 3 months.,Pie chart,Market share,Last 3 months,Correlation
261,Provide a heatmap showing change of sales data across the current year.,Heatmap,Sales data,Current year,Change
262,Plot a pie chart to visualize customer visits increase for the last two years.,Pie chart,Customer visits,Last two years,Increase
263,Display a line chart of revenue data to highlight the comparison during the last 3 months.,Line chart,Revenue data,Last 3 months,Comparison
264,Create a line chart to illustrate sales data distribution during the this year.,Line chart,Sales data,This year,Distribution
265,Plot a scatter plot to visualize revenue data increase for the past week.,Scatter plot,Revenue data,Past week,Increase
266,Plot a histogram to visualize expenses data correlation for the last month.,Histogram,Expenses data,Last month,Correlation
267,Create a bar chart to illustrate customer satisfaction change during the current year.,Bar chart,Customer satisfaction,Current year,Change
268,Provide a heatmap showing change of product prices across the current year.,Heatmap,Product prices,Current year,Change
269,Provide a scatter plot showing variation of sales data across the current year.,Scatter plot,Sales data,Current year,Variation
270,Generate a scatter plot depicting correlation in customer visits over the last quarter.,Scatter plot,Customer visits,Last quarter,Correlation
271,Display a scatter plot of customer satisfaction to highlight the increase during the last month.,Scatter plot,Customer satisfaction,Last month,Increase
272,Make a bar chart showing the variation of sales data over the last month.,Bar chart,Sales data,Last month,Variation
273,Plot a heatmap to visualize website traffic variation for the last year.,Heatmap,Website traffic,Last year,Variation
274,Create a scatter plot to illustrate sales data change during the this quarter.,Scatter plot,Sales data,This quarter,Change
275,Provide a scatter plot showing change of sales data across the current year.,Scatter plot,Sales data,Current year,Change
276,Show a pie chart representing website traffic correlation for the current year.,Pie chart,Website traffic,Current year,Correlation
277,Provide a bar chart showing growth of customer visits across the last two years.,Bar chart,Customer visits,Last two years,Growth
278,Create a scatter plot to illustrate sales data growth during the last two years.,Scatter plot,Sales data,Last two years,Growth
279,Provide a heatmap showing correlation of revenue data across the last two years.,Heatmap,Revenue data,Last two years,Correlation
280,Display a stacked bar chart of customer satisfaction to highlight the comparison during the last 3 months.,Stacked bar chart,Customer satisfaction,Last 3 months,Comparison
281,Plot a stacked bar chart to visualize profit data increase for the last month.,Stacked bar chart,Profit data,Last month,Increase
282,Create a heatmap to illustrate revenue data variation during the this quarter.,Heatmap,Revenue data,This quarter,Variation
283,Display a bar chart of profit data to highlight the variation during the current year.,Bar chart,Profit data,Current year,Variation
284,Plot a pie chart to visualize profit data change for the last year.,Pie chart,Profit data,Last year,Change
285,Create a bar chart to illustrate revenue data change during the current year.,Bar chart,Revenue data,Current year,Change
286,Make a scatter plot showing the correlation of customer visits over the last two years.,Scatter plot,Customer visits,Last two years,Correlation
287,Plot a bar chart to visualize market share growth for the current year.,Bar chart,Market share,Current year,Growth
288,Generate a scatter plot depicting variation in product prices over the last month.,Scatter plot,Product prices,Last month,Variation
289,Make a heatmap showing the variation of profit data over the this quarter.,Heatmap,Profit data,This quarter,Variation
290,Make a stacked bar chart showing the distribution of profit data over the current year.,Stacked bar chart,Profit data,Current year,Distribution
291,Create a stacked bar chart to illustrate profit data increase during the last month.,Stacked bar chart,Profit data,Last month,Increase
292,Provide a bar chart showing increase of profit data across the last quarter.,Bar chart,Profit data,Last quarter,Increase
