wekalp_ref,BUSINESS_DATE,LOAN_NUM,MATURITY_DATE,START_DATE,OUTSTANDING_PRINCIPAL_AMOUNT,OUTSTANDING_INTEREST_AMOUNT,CURRENCY,BRANCH,PURPOSE,CUSTOMER_CODE,COUNTERPARTY_TYPE,SECURED_IND,PRODUCT TYPE,CUSTOMER NAME,ORG_DESC,INDUSTRY_DESC,CUSTOMER_TYPE,TOT_OUT_AMT_INR,LR_BUCKET,SYSTEM_ASSET_CLASSIFICATION,Asset Classification ID
wekalp_ref120,20221231,MUM-GBP-CC-66653-34,20250331,20200301,1319959.08,16676.93,GBP,MUM,MM,CUST-66653,Overseas Bank,N,CC,ABC175,Housing Finance,Man Made Textiles,LARGE,133032040.48527502,31 Days and upto 2 months,STANDARD,5
wekalp_ref121,20221231,DUB-INR-CM-44273-35,20250331,20200301,819406.05,9539.84,INR,DUB,LA,CUST-44273,Cooperative Bank,Y,CM,ABC3059,Transport,Telecommunication,MICRO,828945.89,15-30 Days,STANDARD,2
wekalp_ref122,20221231,MUM-GBP-OD-21919-36,20250331,20200301,-1167831.81,-9925.47,GBP,MUM,LA,CUST-21919,Corporate,Y,OD,ABC6563,Housing Finance,Sugar,LARGE,-117219237.6852,Over 3 Months and upto 6 months,STANDARD,4
wekalp_ref123,20221231,MUM-INR-CC-66431-37,20250331,20200301,314672.43,12316.36,INR,MUM,LA,CUST-66431,Overseas Bank,Y,CC,ABC9816,Transport,Man Made Textiles,LARGE,326988.79,Over 10 year and up to 15 years,STANDARD,5
wekalp_ref124,20221231,MUM-USD-CC-51161-39,20250331,20200301,694713.74,3767.29,USD,MUM,LA,CUST-51161,Financial Institution,N,CC,ABC5587,Software,Others,MICRO,57781843.206750005,31 Days and upto 2 months,STANDARD,3
wekalp_ref125,20221231,MUM-USD-OD-27088-41,20250331,20200301,-1844336.0,-11812.08,USD,MUM,LA,CUST-27088,Corporate,Y,OD,ABC4736,Shipping,Iron and Steel,SMALL,-153549849.91799998,8-14 Days,STANDARD,5
wekalp_ref126,20221231,MUM-GBP-CC-64118-42,20250331,20200301,1216733.39,15775.15,GBP,MUM,LA,CUST-64118,Overseas Bank,N,CC,ABC8105,Others,Fertilizer,MICRO,122668493.71484996,More than 2 months and upto 3 months,STANDARD,5
wekalp_ref127,20221231,DUB-EUR-CM-42095-43,20250331,20200301,1653262.28,13435.67,EUR,DUB,LA,CUST-42095,Individual,Y,CM,ABC6257,Individual,Food Processing,SMALL,146894423.82325,More than 2 months and upto 3 months,SUB-STANDARD,2
wekalp_ref128,20221231,DEL-GBP-OD-36384-44,20250331,20200301,-740128.85,-13139.04,GBP,DEL,MM,CUST-36384,Financial Institution,Y,OD,ABC8978,Transport,Tea,MEDIUM,-74970869.921975,More than 2 months and upto 3 months,STANDARD,2
wekalp_ref129,20221231,DEL-USD-CM-69954-46,20250331,20200301,499789.68,17893.14,USD,DEL,LA,CUST-69954,Financial Institution,N,CM,ABC1447,Agriculture,Tea,MEDIUM,42825311.284499995,31 Days and upto 2 months,SUB-STANDARD,5
wekalp_ref130,20221231,MUM-INR-CM-27613-47,20250331,20200301,1456133.21,17906.98,INR,MUM,LA,CUST-27613,Individual,N,CM,ABC3265,Software,Telecommunication,SMALL,1474040.19,Over 10 year and up to 15 years,SUB-STANDARD,2
wekalp_ref131,20221231,MUM-INR-OD-56665-48,20250331,20200301,-295885.42,-11914.92,INR,MUM,MM,CUST-56665,Financial Institution,Y,OD,ABC529,Individual,Tea,MICRO,-307800.34,Over 3 Years and upto 5 years,STANDARD,4
wekalp_ref132,20221231,MUM-EUR-CM-33120-49,20250331,20200301,1533836.26,12209.57,EUR,MUM,MM,CUST-33120,Overseas Bank,N,CM,ABC8727,Aviation,Electronics,LARGE,136260749.22705,Day - 1,STANDARD,3
wekalp_ref133,20221231,DUB-USD-CC-46316-50,20250331,20200301,1389109.09,11104.11,USD,DUB,LA,CUST-46316,Corporate,N,CC,ABC2884,Software,Food Processing,MICRO,115832636.97000003,Over 3 Months and upto 6 months,STANDARD,5
wekalp_ref134,20221231,DUB-USD-TL-23532-51,20250331,20200301,1660061.2,10979.52,USD,DUB,LA,CUST-23532,Cooperative Bank,Y,TL,ABC1998,Individual,Others,LARGE,138236843.56199998,Over 6 Months and upto 1 year,SUB-STANDARD,5
wekalp_ref135,20221231,DEL-INR-TL-40830-54,20250331,20200301,535902.25,5218.83,INR,DEL,LA,CUST-40830,Cooperative Bank,Y,TL,ABC3675,Individual,Telecommunication,LARGE,541121.08,Over 7 years and up to 10 years,STANDARD,5
wekalp_ref136,20221231,MUM-INR-CC-12772-55,20250331,20200301,206204.18,9937.34,INR,MUM,LA,CUST-12772,Corporate,N,CC,ABC7670,Real Estate,Tea,LARGE,216141.52,Day - 1,SUB-STANDARD,5
wekalp_ref137,20221231,DUB-GBP-TL-41586-57,20250331,20200301,595277.1,10350.65,GBP,DUB,LA,CUST-41586,Cooperative Bank,Y,TL,ABC9199,Software,Telecommunication,LARGE,60276615.888125,15-30 Days,STANDARD,2
wekalp_ref138,20221231,MUM-GBP-CC-23297-58,20250331,20200301,492885.95,17810.08,GBP,MUM,MM,CUST-23297,Financial Institution,N,CC,ABC6596,Individual,Tea,MEDIUM,50828299.125825,More than 2 months and upto 3 months,STANDARD,4
wekalp_ref139,20221231,DEL-GBP-OD-48649-59,20250331,20200301,-1276074.61,-4595.89,GBP,DEL,MM,CUST-48649,Overseas Bank,Y,OD,ABC7746,Transport,Others,LARGE,-127461933.18875,2-7 Days,STANDARD,5
wekalp_ref140,20221231,DUB-EUR-TL-75960-60,20250331,20200301,1516886.43,3757.4,EUR,DUB,LA,CUST-75960,Financial Institution,N,TL,ABC9606,Tourism,Leather,MEDIUM,134021943.95704998,Over 6 Months and upto 1 year,SUB-STANDARD,5
wekalp_ref141,20221231,DEL-USD-OD-75934-61,20250331,20200301,-344543.76,-13756.04,USD,DEL,MM,CUST-75934,Financial Institution,Y,OD,ABC7264,Housing Finance,Railways,SMALL,-29640350.955,8-14 Days,STANDARD,2
wekalp_ref142,20221231,MUM-GBP-CC-48082-62,20250331,20200301,902915.28,17477.85,GBP,MUM,MM,CUST-48082,Overseas Bank,Y,CC,ABC7549,Agriculture,Fertilizer,MEDIUM,91604427.246075,Over 1 Year and upto 3 years,SUB-STANDARD,3
wekalp_ref143,20221231,DEL-USD-TL-53424-66,20250331,20200301,1588941.51,7111.38,USD,DEL,LA,CUST-53424,Individual,Y,TL,ABC8543,Shipping,Fertilizer,MEDIUM,132033475.32525,31 Days and upto 2 months,SUB-STANDARD,5
wekalp_ref144,20221231,MUM-GBP-CC-78063-68,20250331,20200301,457113.51,2936.71,GBP,MUM,LA,CUST-78063,Overseas Bank,Y,CC,ABC4645,Aviation,Others,SMALL,45787648.271050006,Over 1 Year and upto 3 years,DOUBTFUL,4
wekalp_ref145,20221231,MUM-EUR-TL-38034-69,20250331,20200301,1888372.74,18808.76,EUR,MUM,LA,CUST-38034,Cooperative Bank,Y,TL,ABC3538,Agriculture,Man Made Textiles,SMALL,168089441.5025,Over 7 years and up to 10 years,SUB-STANDARD,4
wekalp_ref146,20221231,DUB-GBP-CC-17428-71,20250331,20200301,1766334.34,16651.22,GBP,DUB,LA,CUST-17428,Individual,Y,CC,ABC2309,Agriculture,Electronics,LARGE,177456095.3229,More than 2 months and upto 3 months,STANDARD,5
wekalp_ref147,20221231,DEL-INR-CC-65200-73,20250331,20200301,231291.75,7752.11,INR,DEL,LA,CUST-65200,Cooperative Bank,Y,CC,ABC2965,Housing Finance,Man Made Textiles,MICRO,239043.86,8-14 Days,SUB-STANDARD,2
wekalp_ref148,20221231,DEL-GBP-CM-19001-74,20250331,20200301,556528.41,11003.25,GBP,DEL,MM,CUST-19001,Financial Institution,N,CM,ABC1987,Others,Man Made Textiles,SMALL,56485007.29065,Day - 1,STANDARD,5
wekalp_ref149,20221231,DEL-INR-CM-26468-77,20250331,20200301,532522.57,19447.52,INR,DEL,LA,CUST-26468,Cooperative Bank,Y,CM,ABC1718,Software,Telecommunication,LARGE,551970.09,15-30 Days,STANDARD,2
wekalp_ref150,20221231,MUM-INR-CC-30597-78,20250331,20200301,1454802.3,7589.95,INR,MUM,LA,CUST-30597,Overseas Bank,N,CC,ABC1660,Agriculture,Sugar,MICRO,1462392.25,Over 7 years and up to 10 years,DOUBTFUL,3
wekalp_ref151,20221231,DEL-EUR-CM-74524-79,20250331,20200301,1465315.12,16273.5,EUR,DEL,LA,CUST-74524,Corporate,Y,CM,ABC6235,Transport,Iron and Steel,MEDIUM,130579813.02370001,Over 10 year and up to 15 years,STANDARD,5
wekalp_ref152,20221231,DUB-GBP-CM-66572-81,20250331,20200301,491517.46,3083.05,GBP,DUB,MM,CUST-66572,Cooperative Bank,Y,CM,ABC8839,Individual,Tea,SMALL,49226352.259025,Over 15 years,SUB-STANDARD,5
wekalp_ref153,20221231,MUM-EUR-CM-12428-82,20250331,20200301,951939.47,17491.69,EUR,MUM,LA,CUST-12428,Individual,N,CM,ABC3341,Housing Finance,Fertilizer,MICRO,85440815.2866,More than 2 months and upto 3 months,STANDARD,5
wekalp_ref154,20221231,MUM-USD-OD-79797-83,20250331,20200301,-1042069.62,-17984.11,USD,MUM,LA,CUST-79797,Overseas Bank,Y,OD,ABC6684,Individual,Fertilizer,MICRO,-87692944.81424999,Day - 1,STANDARD,5
wekalp_ref155,20221231,DUB-EUR-TL-17196-84,20250331,20200301,312032.36,9286.71,EUR,DUB,LA,CUST-17196,Individual,Y,TL,ABC518,Tourism,Food Processing,MICRO,28319456.23445,Over 10 year and up to 15 years,STANDARD,4
wekalp_ref156,20221231,DEL-GBP-TL-50363-86,20250331,20200301,1330394.76,13520.71,GBP,DEL,LA,CUST-50363,Cooperative Bank,N,TL,ABC2048,Individual,Sugar,SMALL,133756546.94042501,Over 5 years and upto 7 years,STANDARD,3
wekalp_ref157,20221231,DUB-INR-TL-27854-87,20250331,20200301,1199063.72,5309.8,INR,DUB,LA,CUST-27854,Financial Institution,N,TL,ABC8988,Real Estate,Food Processing,MEDIUM,1204373.52,31 Days and upto 2 months,STANDARD,4
wekalp_ref158,20221231,DEL-GBP-CM-62313-88,20250331,20200301,807831.28,18235.26,GBP,DEL,MM,CUST-62313,Cooperative Bank,N,CM,ABC5709,Software,Electronics,MEDIUM,82216337.55985,2-7 Days,SUB-STANDARD,4
wekalp_ref159,20221231,MUM-EUR-TL-44814-89,20250331,20200301,205094.76,10783.74,EUR,MUM,MM,CUST-44814,Cooperative Bank,Y,TL,ABC6115,Agriculture,Others,SMALL,19026451.5975,8-14 Days,SUB-STANDARD,4
wekalp_ref160,20221231,DEL-GBP-OD-12989-90,20250331,20200301,-1208621.36,-9804.84,GBP,DEL,MM,CUST-12989,Overseas Bank,Y,OD,ABC5999,Others,Iron and Steel,MICRO,-121266913.62050001,Over 10 year and up to 15 years,STANDARD,3
wekalp_ref161,20221231,MUM-GBP-TL-66997-91,20250331,20200301,586095.2,18120.56,GBP,MUM,MM,CUST-66997,Overseas Bank,Y,TL,ABC4596,Tourism,Leather,MEDIUM,60136084.0534,31 Days and upto 2 months,SUB-STANDARD,3
wekalp_ref162,20221231,DUB-GBP-OD-55938-94,20250331,20200301,-475493.14,-5750.8,GBP,DUB,LA,CUST-55938,Corporate,N,OD,ABC8454,Shipping,Leather,LARGE,-47897006.238350004,Over 3 Years and upto 5 years,STANDARD,5
wekalp_ref163,20221231,DUB-INR-CM-27934-95,20250331,20200301,1143262.36,4528.66,INR,DUB,LA,CUST-27934,Overseas Bank,N,CM,ABC9498,Software,Iron and Steel,SMALL,1147791.02,Over 1 Year and upto 3 years,DOUBTFUL,5
wekalp_ref164,20221231,DEL-EUR-TL-45110-97,20250331,20200301,541257.54,6618.96,EUR,DEL,LA,CUST-45110,Financial Institution,Y,TL,ABC9495,Tourism,Tea,SMALL,48287095.3275,31 Days and upto 2 months,DOUBTFUL,4
wekalp_ref165,20221231,DUB-GBP-CM-74122-99,20250331,20200301,1019626.08,18785.03,GBP,DUB,LA,CUST-74122,Overseas Bank,N,CM,ABC4548,Tourism,Sugar,MICRO,103350461.750525,More than 2 months and upto 3 months,STANDARD,5
wekalp_ref166,20221231,MUM-INR-TL-57441-100,20250331,20200301,1737651.52,6531.94,INR,MUM,LA,CUST-57441,Cooperative Bank,N,TL,ABC1740,Aviation,Telecommunication,MICRO,1744183.46,15-30 Days,STANDARD,5
wekalp_ref167,20221231,DUB-INR-TL-67905-101,20250331,20200301,1764475.41,6531.94,INR,DUB,LA,CUST-67905,Corporate,Y,TL,ABC7792,Shipping,Fertilizer,SMALL,1771007.3499999999,Over 1 Year and upto 3 years,STANDARD,4
wekalp_ref168,20221231,DUB-EUR-CM-30519-102,20250331,20200301,332081.06,13870.74,EUR,DUB,LA,CUST-30519,Individual,Y,CM,ABC3569,Others,Fertilizer,MEDIUM,30490461.893,15-30 Days,STANDARD,5
wekalp_ref169,20221231,DEL-EUR-OD-33685-103,20250331,20200301,-1416508.46,-15949.18,EUR,DEL,MM,CUST-33685,Financial Institution,Y,OD,ABC9919,Individual,Others,MEDIUM,-126249654.10140002,2-7 Days,SUB-STANDARD,4
wekalp_ref170,20221231,MUM-EUR-TL-29638-104,20250331,20200301,1308334.87,13848.99,EUR,MUM,LA,CUST-29638,Individual,Y,TL,ABC527,Real Estate,Fertilizer,MEDIUM,116530674.5011,15-30 Days,SUB-STANDARD,5
wekalp_ref171,20221231,DUB-EUR-CC-42416-106,20250331,20200301,1840220.66,7425.81,EUR,DUB,LA,CUST-42416,Individual,Y,CC,ABC5672,Tourism,Others,LARGE,162842321.63345,8-14 Days,STANDARD,5
wekalp_ref172,20221231,DEL-EUR-OD-60999-107,20250331,20200301,-130619.12,-19255.69,EUR,DEL,LA,CUST-60999,Cooperative Bank,Y,OD,ABC4322,Housing Finance,Others,MEDIUM,-13209216.379350001,Over 7 years and up to 10 years,DOUBTFUL,5
wekalp_ref173,20221231,MUM-GBP-OD-60408-108,20250331,20200301,-763998.24,-5337.49,GBP,MUM,LA,CUST-60408,Financial Institution,Y,OD,ABC3313,Aviation,Tea,MEDIUM,-76570061.867575,Over 3 Years and upto 5 years,SUB-STANDARD,4
wekalp_ref174,20221231,DEL-EUR-CM-34704-109,20250331,20200301,520926.05,14602.45,EUR,DEL,LA,CUST-34704,Individual,N,CM,ABC6303,Agriculture,Iron and Steel,SMALL,47198804.347500004,8-14 Days,STANDARD,5
wekalp_ref175,20221231,DEL-USD-TL-18124-110,20250331,20200301,1951477.29,16674.95,USD,DEL,LA,CUST-18124,Corporate,N,TL,ABC2169,Individual,Iron and Steel,MEDIUM,162815394.054,More than 2 months and upto 3 months,SUB-STANDARD,2
wekalp_ref176,20221231,DEL-INR-OD-72936-111,20250331,20200301,-990403.39,-12298.57,INR,DEL,LA,CUST-72936,Financial Institution,Y,OD,ABC9855,Housing Finance,Railways,SMALL,-1002701.96,Over 7 years and up to 10 years,STANDARD,2
wekalp_ref177,20221231,DEL-INR-CM-46998-113,20250331,20200301,65606.2,10653.22,INR,DEL,LA,CUST-46998,Cooperative Bank,Y,CM,ABC3019,Agriculture,Tea,LARGE,76259.42,15-30 Days,SUB-STANDARD,3
wekalp_ref178,20221231,MUM-USD-CM-32906-114,20250331,20200301,1350212.09,3043.49,USD,MUM,LA,CUST-32906,Overseas Bank,N,CM,ABC5175,Individual,Leather,LARGE,111948067.8555,31 Days and upto 2 months,DOUBTFUL,2
wekalp_ref179,20221231,DEL-GBP-TL-62163-115,20250331,20200301,1924467.51,16364.47,GBP,DEL,LA,CUST-62163,Individual,Y,TL,ABC9172,Individual,Others,MICRO,193166154.88945,15-30 Days,DOUBTFUL,4
wekalp_ref180,20221231,MUM-GBP-TL-47268-116,20250331,20200301,109801.14,4392.2,GBP,MUM,LA,CUST-47268,Overseas Bank,N,TL,ABC572,Individual,Sugar,MICRO,11365377.64685,Over 7 years and up to 10 years,STANDARD,4
wekalp_ref181,20221231,DEL-USD-CM-79631-118,20250331,20200301,25453.42,9330.22,USD,DEL,LA,CUST-79631,Corporate,Y,CM,ABC2220,Aviation,Leather,LARGE,2877476.619,More than 2 months and upto 3 months,SUB-STANDARD,2
wekalp_ref182,20221231,MUM-GBP-CC-44837-120,20250331,20200301,436886.83,16653.2,GBP,MUM,LA,CUST-44837,Overseas Bank,N,CC,ABC3190,Agriculture,Man Made Textiles,LARGE,45139705.335825,Over 10 year and up to 15 years,STANDARD,4
wekalp_ref183,20221231,MUM-INR-CM-17284-122,20250331,20200301,1064032.62,9899.76,INR,MUM,LA,CUST-17284,Financial Institution,Y,CM,ABC1449,Aviation,Wood,MICRO,1073932.3800000001,8-14 Days,STANDARD,5
wekalp_ref184,20221231,DUB-USD-CM-42414-123,20250331,20200301,1536788.79,8293.97,USD,DUB,MM,CUST-42414,Overseas Bank,Y,CM,ABC2146,Tourism,Sugar,SMALL,127816971.32099998,2-7 Days,DOUBTFUL,5
wekalp_ref185,20221231,MUM-GBP-TL-78971-127,20250331,20200301,949378.5,15397.43,GBP,MUM,LA,CUST-78971,Cooperative Bank,N,TL,ABC1200,Tourism,Others,SMALL,96021736.37307501,8-14 Days,STANDARD,3
wekalp_ref186,20221231,DEL-EUR-CM-30533-130,20250331,20200301,1005557.58,4556.34,EUR,DEL,MM,CUST-30533,Financial Institution,Y,CM,ABC7719,Tourism,Food Processing,LARGE,89026390.3392,Over 6 Months and upto 1 year,DOUBTFUL,2
wekalp_ref187,20221231,DEL-USD-OD-25225-131,20250331,20200301,-807077.82,-13532.58,USD,DEL,LA,CUST-25225,Overseas Bank,N,OD,ABC1792,Others,Man Made Textiles,SMALL,-67884995.33999999,Over 10 year and up to 15 years,STANDARD,5
wekalp_ref188,20221231,DEL-EUR-CM-45078-134,20250331,20200301,1032225.23,6753.43,EUR,DEL,LA,CUST-45078,Overseas Bank,Y,CM,ABC3120,Housing Finance,Others,MICRO,91570384.1991,More than 2 months and upto 3 months,SUB-STANDARD,5
wekalp_ref189,20221231,MUM-EUR-TL-78930-135,20250331,20200301,627549.21,13063.89,EUR,MUM,MM,CUST-78930,Overseas Bank,Y,TL,ABC7580,Agriculture,Telecommunication,SMALL,56460435.568500005,More than 2 months and upto 3 months,STANDARD,4
wekalp_ref190,20221231,MUM-USD-OD-42546-136,20250331,20200301,-871487.58,-9549.73,USD,MUM,LA,CUST-42546,Corporate,N,OD,ABC4714,Housing Finance,Electronics,MICRO,-72883811.46974999,31 Days and upto 2 months,STANDARD,4
wekalp_ref191,20221231,DEL-GBP-OD-61840-137,20250331,20200301,-465322.45,-3822.66,GBP,DEL,LA,CUST-61840,Overseas Bank,N,OD,ABC4277,Real Estate,Iron and Steel,MICRO,-46692839.935525,8-14 Days,STANDARD,3
wekalp_ref192,20221231,DUB-GBP-TL-39565-139,20250331,20200301,1330098.13,11903.05,GBP,DUB,MM,CUST-39565,Cooperative Bank,N,TL,ABC6770,Real Estate,Railways,LARGE,133566022.44245,Over 15 years,SUB-STANDARD,5
wekalp_ref193,20221231,MUM-EUR-TL-36899-140,20250331,20200301,1060759.73,3607.1,EUR,MUM,LA,CUST-36899,Overseas Bank,N,TL,ABC8528,Tourism,Food Processing,SMALL,93807970.56205001,Over 15 years,STANDARD,5
wekalp_ref194,20221231,MUM-EUR-CM-46632-141,20250331,20200301,55601.62,8379.0,EUR,MUM,MM,CUST-46632,Cooperative Bank,N,CM,ABC3199,Real Estate,Food Processing,MEDIUM,5638931.943700001,Over 10 year and up to 15 years,STANDARD,4
wekalp_ref195,20221231,MUM-GBP-TL-35919-142,20250331,20200301,905418.89,4455.49,GBP,MUM,LA,CUST-35919,Overseas Bank,N,TL,ABC8495,Shipping,Sugar,MICRO,90557522.35545,15-30 Days,SUB-STANDARD,4
wekalp_ref196,20221231,DEL-GBP-TL-66279-145,20250331,20200301,598073.39,8667.73,GBP,DEL,MM,CUST-66279,Overseas Bank,N,TL,ABC1717,Shipping,Iron and Steel,MEDIUM,60387426.8208,Over 1 Year and upto 3 years,SUB-STANDARD,2
wekalp_ref197,20221231,DUB-GBP-CC-73748-147,20250331,20200301,1186804.7,17833.81,GBP,DUB,LA,CUST-73748,Individual,N,CC,ABC1436,Aviation,Telecommunication,LARGE,119894659.30402501,Over 6 Months and upto 1 year,STANDARD,2
wekalp_ref198,20221231,DEL-EUR-OD-74554-149,20250331,20200301,-445428.0,-16599.8,EUR,DEL,MM,CUST-74554,Cooperative Bank,Y,OD,ABC2212,Tourism,Railways,MICRO,-40720820.153000005,Over 3 Months and upto 6 months,STANDARD,5
wekalp_ref199,20221231,MUM-INR-TL-30262-150,20250331,20200301,1160833.15,14578.72,INR,MUM,LA,CUST-30262,Individual,N,TL,ABC6388,Individual,Food Processing,MEDIUM,1175411.8699999999,Over 5 years and upto 7 years,STANDARD,4
wekalp_ref200,20221231,MUM-USD-CC-12487-151,20250331,20200301,1666215.43,13449.52,USD,MUM,LA,CUST-12487,Cooperative Bank,N,CC,ABC5584,Real Estate,Others,LARGE,138950282.98874998,Over 1 Year and upto 3 years,STANDARD,5
wekalp_ref201,20221231,DEL-GBP-CM-38646-152,20250331,20200301,1098580.93,13097.51,GBP,DEL,MM,CUST-38646,Financial Institution,Y,CM,ABC6069,Real Estate,Wood,SMALL,110642575.9371,2-7 Days,SUB-STANDARD,4
wekalp_ref202,20221231,DUB-GBP-CC-78137-153,20250331,20200301,89113.68,7928.12,GBP,DUB,LA,CUST-78137,Individual,N,CC,ABC5477,Others,Telecommunication,MEDIUM,9658327.749499999,Day - 1,STANDARD,2
wekalp_ref203,20221231,DEL-INR-CM-79888-154,20250331,20200301,1379709.66,18828.53,INR,DEL,LA,CUST-79888,Corporate,Y,CM,ABC9817,Transport,Railways,MICRO,1398538.19,Over 15 years,STANDARD,5
wekalp_ref204,20221231,MUM-EUR-CC-63676-157,20250331,20200301,267728.65,8944.59,EUR,MUM,LA,CUST-63676,Individual,N,CC,ABC5700,Transport,Electronics,MEDIUM,24384596.007400006,31 Days and upto 2 months,STANDARD,4
wekalp_ref205,20221231,MUM-EUR-CM-26421-158,20250331,20200301,433918.49,11210.9,EUR,MUM,LA,CUST-26421,Overseas Bank,Y,CM,ABC6479,Housing Finance,Wood,SMALL,39231478.787650004,31 Days and upto 2 months,DOUBTFUL,3
